encoding,opcode,mnemonic,recognised,attributed_to,vendor_only,broad_mnemonic,broad_ext,active,n_events_deviating,lax_decode_of,verdict,recognised_zfh_incl,recognised_zfh_excl,zfh_only,reserved_rm,reserved_rm_zfh,arch_fault
0xaa00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xaa00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0xac00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xac00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xac00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0xae00000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xae00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xae00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0xb000000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xb0000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0xb000100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xb0005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb0006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb0007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb0007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0xb200000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xb2000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0xb200100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xb2005027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb2006027,39,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb2007007,7,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigill
0xb2007027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0xb400000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xb400100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xb600000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xb600100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xb800000f,15,,False,,False,,,True,3,0x0000000f,undocumented_active,False,False,False,False,False,none
0xb8000027,39,,False,,False,,,True,7,,undocumented_active,False,False,False,False,False,sigill
0xb800100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0xb800400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
